EXP_ID,Stage,Condition,Area,Circ.,AR,Round,Solidity
Batch1,DIV3,Control,84.789,0.711,2.513,0.398,0.918
Batch1,DIV3,Control,74.449,0.822,1.884,0.531,0.915
Batch1,DIV3,Control,57.215,0.98,1.244,0.804,0.927
Batch1,DIV3,Control,72.381,0.912,1.137,0.879,0.901
Batch1,DIV3,Control,88.236,0.852,1.532,0.653,0.898
Batch1,DIV3,Control,35.846,0.846,1.255,0.797,0.867
Batch1,DIV3,Control,48.254,0.938,1.221,0.819,0.886
Batch1,DIV3,Control,86.168,0.801,1.867,0.536,0.899
Batch1,DIV3,Control,76.517,0.802,2.041,0.49,0.906
Batch1,DIV3,Control,46.875,0.962,1.354,0.739,0.907
Batch1,DIV3,Control,81.342,0.873,1.61,0.621,0.937
Batch1,DIV3,Control,91.682,0.885,1.222,0.818,0.914
Batch1,DIV3,Control,79.964,0.698,2.503,0.399,0.862
Batch1,DIV3,Control,86.857,0.921,1.33,0.752,0.937
Batch1,DIV3,Control,73.76,0.901,1.474,0.679,0.918
Batch1,DIV3,Control,114.431,0.756,1.841,0.543,0.874
Batch1,DIV3,Control,77.206,0.973,1.08,0.926,0.937
Batch1,DIV3,Control,95.129,0.77,2.131,0.469,0.923
Batch1,DIV3,Control,82.032,0.783,2.022,0.494,0.888
Batch1,DIV3,Control,77.896,0.875,1.433,0.698,0.893
Batch1,DIV3,Control,72.381,0.984,1.066,0.938,0.929
Batch1,DIV3,Control,53.769,0.883,1.367,0.731,0.951
Batch1,DIV3,Control,41.361,1,1.172,0.853,0.93
Batch1,DIV3,Control,87.546,0.94,1.311,0.763,0.941
Batch1,DIV3,Control,73.07,0.92,1.299,0.77,0.902
Batch1,DIV3,Control,66.866,0.951,1.101,0.908,0.928
Batch1,DIV3,Control,121.324,0.855,1.505,0.665,0.914
Batch1,DIV3,Control,79.274,0.808,2.036,0.491,0.906
Batch1,DIV3,Control,78.585,0.843,1.854,0.539,0.927
Batch1,DIV3,Control,66.866,0.827,1.152,0.868,0.898
Batch1,DIV3,Control,79.274,0.986,1.207,0.829,0.924
Batch1,DIV3,Control,59.283,0.78,1.68,0.595,0.905
Batch1,DIV3,Control,75.138,0.918,1.097,0.911,0.897
Batch1,DIV3,Control,87.546,0.719,2.339,0.428,0.882
Batch1,DIV3,Control,61.351,0.933,1.114,0.898,0.894
Batch1,DIV3,Control,84.789,0.91,1.601,0.625,0.939
Batch1,DIV3,Control,73.76,0.929,1.234,0.81,0.907
Batch1,DIV3,Control,85.478,0.717,2.219,0.451,0.899
Batch1,DIV3,Control,89.614,0.791,1.572,0.636,0.881
Batch1,DIV3,Control,82.721,0.83,1.659,0.603,0.909
Batch1,DIV3,Control,83.41,0.784,1.791,0.558,0.893
Batch1,DIV3,Control,83.41,0.744,2.109,0.474,0.877
Batch1,DIV3,Control,85.478,0.795,1.64,0.61,0.883
Batch1,DIV3,Control,86.168,0.864,1.738,0.575,0.929
Batch1,DIV3,Control,81.342,0.898,1.574,0.635,0.94
Batch1,DIV3,Control,79.964,0.848,1.863,0.537,0.913
Batch1,DIV3,Control,49.633,0.863,1.175,0.851,0.873
Batch1,DIV3,Control,68.245,0.952,1.102,0.908,0.961
Batch1,DIV3,Control,100.644,0.569,3.419,0.293,0.844
Batch1,DIV3,Control,86.168,0.889,1.428,0.7,0.909
